date,market,city,mom_index,yoy_index,ytd_index,mom_pct,yoy_pct,ytd_pct
2025-02-01,existing,洛阳,99.7,93.2,92.9,-0.0029999999999999714,-0.06799999999999998,-0.07099999999999994
2025-02-01,existing,济南,99.8,90.6,90.4,-0.0020000000000000282,-0.09400000000000006,-0.09599999999999995
2025-02-01,existing,济宁,99.8,94.4,94.3,-0.0020000000000000282,-0.055999999999999946,-0.05700000000000003
2025-02-01,existing,海口,100.2,93.6,93.2,0.0020000000000000282,-0.06400000000000006,-0.06799999999999998
2025-02-01,existing,深圳,100.3,94.7,94.3,0.0029999999999999714,-0.05299999999999997,-0.05700000000000003
2025-02-01,existing,温州,99.8,89.6,89.2,-0.0020000000000000282,-0.10400000000000005,-0.10799999999999997
2025-02-01,existing,湛江,99.6,92.5,92.3,-0.0040000000000000565,-0.075,-0.07700000000000003
2025-02-01,existing,烟台,99.2,90.5,90.7,-0.007999999999999972,-0.095,-0.09299999999999997
2025-02-01,existing,福州,99.4,90.9,90.7,-0.005999999999999943,-0.09099999999999994,-0.09299999999999997
2025-02-01,existing,蚌埠,99.8,93.4,93.1,-0.0020000000000000282,-0.06599999999999995,-0.06900000000000006
2025-02-01,existing,襄阳,99.4,89.9,89.9,-0.005999999999999943,-0.10099999999999994,-0.10099999999999994
2025-02-01,existing,西宁,99.5,92.6,92.6,-0.005,-0.07400000000000005,-0.07400000000000005
2025-02-01,existing,西安,99.6,93.0,93.0,-0.0040000000000000565,-0.07,-0.07
2025-02-01,existing,贵阳,99.8,94.9,94.7,-0.0020000000000000282,-0.05099999999999994,-0.05299999999999997
2025-02-01,existing,赣州,99.9,95.1,94.9,-0.0009999999999999432,-0.04900000000000006,-0.05099999999999994
2025-02-01,existing,遵义,99.5,94.3,94.3,-0.005,-0.05700000000000003,-0.05700000000000003
2025-02-01,existing,郑州,99.4,92.4,92.3,-0.005999999999999943,-0.07599999999999994,-0.07700000000000003
2025-02-01,existing,重庆,99.9,94.5,94.5,-0.0009999999999999432,-0.055,-0.055
2025-02-01,existing,金华,99.7,88.8,88.5,-0.0029999999999999714,-0.11200000000000003,-0.115
2025-02-01,existing,银川,99.3,94.4,94.3,-0.007000000000000029,-0.055999999999999946,-0.05700000000000003
2025-02-01,existing,锦州,99.5,91.5,91.4,-0.005,-0.085,-0.08599999999999994
2025-02-01,existing,长春,99.3,93.4,93.4,-0.007000000000000029,-0.06599999999999995,-0.06599999999999995
2025-02-01,existing,长沙,99.6,91.6,91.5,-0.0040000000000000565,-0.08400000000000006,-0.085
2025-02-01,existing,青岛,99.9,92.7,92.4,-0.0009999999999999432,-0.07299999999999997,-0.07599999999999994
2025-02-01,existing,韶关,99.7,93.5,93.2,-0.0029999999999999714,-0.065,-0.06799999999999998
2025-02-01,new,三亚,99.9,96.8,96.7,-0.0009999999999999432,-0.03200000000000003,-0.032999999999999974
2025-02-01,new,上海,100.2,105.6,105.6,0.0020000000000000282,0.055999999999999946,0.055999999999999946
2025-02-01,new,丹东,99.6,93.8,93.8,-0.0040000000000000565,-0.06200000000000003,-0.06200000000000003
2025-02-01,new,乌鲁木齐,99.9,96.8,96.9,-0.0009999999999999432,-0.03200000000000003,-0.030999999999999944
2025-02-01,new,九江,100.0,93.0,92.7,0.0,-0.07,-0.07299999999999997
2025-02-01,new,兰州,99.8,92.7,92.6,-0.0020000000000000282,-0.07299999999999997,-0.07400000000000005
2025-02-01,new,包头,99.6,93.6,93.5,-0.0040000000000000565,-0.06400000000000006,-0.065
