dataset,series,date,value
consumption,商品零售（亿元）,2024-07-01,33354.0
consumption,商品零售（亿元）,2024-08-01,34374.5
consumption,商品零售（亿元）,2024-09-01,36694.9
consumption,商品零售（亿元）,2024-10-01,40444.3
consumption,商品零售（亿元）,2024-11-01,37961.4
consumption,商品零售（亿元）,2024-12-01,39623.0
consumption,商品零售（亿元）,2025-03-01,36705.0
consumption,商品零售（亿元）,2025-04-01,33007.1
consumption,商品零售（亿元）,2025-05-01,36747.6
consumption,商品零售（亿元）,2025-06-01,37579.8
consumption,商品零售（亿元）,2025-07-01,34276.1
consumption,商品零售（亿元）,2025-08-01,35171.9
consumption,商品零售（亿元）,2025-09-01,37462.4
consumption,城镇社会消费品零售总额（亿元）,2018-11-01,29990.0
consumption,城镇社会消费品零售总额（亿元）,2018-12-01,30328.9
consumption,城镇社会消费品零售总额（亿元）,2019-03-01,27191.8
consumption,城镇社会消费品零售总额（亿元）,2019-04-01,26259.0
consumption,城镇社会消费品零售总额（亿元）,2019-05-01,28303.9
consumption,城镇社会消费品零售总额（亿元）,2019-06-01,28959.0
consumption,城镇社会消费品零售总额（亿元）,2019-07-01,28353.8
consumption,城镇社会消费品零售总额（亿元）,2019-08-01,29134.3
consumption,城镇社会消费品零售总额（亿元）,2019-09-01,29112.4
consumption,城镇社会消费品零售总额（亿元）,2019-10-01,32744.1
consumption,城镇社会消费品零售总额（亿元）,2019-11-01,32345.4
consumption,城镇社会消费品零售总额（亿元）,2019-12-01,32703.8
consumption,城镇社会消费品零售总额（亿元）,2020-03-01,22974.0
consumption,城镇社会消费品零售总额（亿元）,2020-04-01,24557.7
consumption,城镇社会消费品零售总额（亿元）,2020-05-01,27880.9
consumption,城镇社会消费品零售总额（亿元）,2020-06-01,29051.6
consumption,城镇社会消费品零售总额（亿元）,2020-07-01,28025.0
consumption,城镇社会消费品零售总额（亿元）,2020-08-01,29272.7
consumption,城镇社会消费品零售总额（亿元）,2020-09-01,30200.1
consumption,城镇社会消费品零售总额（亿元）,2020-10-01,33498.0
consumption,城镇社会消费品零售总额（亿元）,2020-11-01,34071.9
consumption,城镇社会消费品零售总额（亿元）,2020-12-01,34706.0
consumption,城镇社会消费品零售总额（亿元）,2021-03-01,30793.8
consumption,城镇社会消费品零售总额（亿元）,2021-04-01,28888.0
consumption,城镇社会消费品零售总额（亿元）,2021-05-01,31312.7
consumption,城镇社会消费品零售总额（亿元）,2021-06-01,32551.5
consumption,城镇社会消费品零售总额（亿元）,2021-07-01,30378.5
consumption,城镇社会消费品零售总额（亿元）,2021-08-01,29950.3
consumption,城镇社会消费品零售总额（亿元）,2021-09-01,31461.8
consumption,城镇社会消费品零售总额（亿元）,2021-10-01,35089.9
consumption,城镇社会消费品零售总额（亿元）,2021-11-01,35337.5
consumption,城镇社会消费品零售总额（亿元）,2021-12-01,35242.8
consumption,城镇社会消费品零售总额（亿元）,2022-03-01,29699.4
consumption,城镇社会消费品零售总额（亿元）,2022-04-01,25637.0
consumption,城镇社会消费品零售总额（亿元）,2022-05-01,29204.9
consumption,城镇社会消费品零售总额（亿元）,2022-06-01,33571.2
consumption,城镇社会消费品零售总额（亿元）,2022-07-01,31204.8
consumption,城镇社会消费品零售总额（亿元）,2022-08-01,31593.2
consumption,城镇社会消费品零售总额（亿元）,2022-09-01,32249.5
consumption,城镇社会消费品零售总额（亿元）,2022-10-01,34896.1
